54,"Fabrication et transformation", NULL
540,"Fabrication et transformation (programmes larges)", NULL
541,"Transformation des aliments", NULL
542,"Textiles, habillement, chaussures, cuir", NULL
543,"Matériaux (bois, papier, plastique, verre)", NULL
544,"Mines et extraction", NULL
549,"Fabrication et transformation (autres)", NULL
58,"Architecture et bâtiment", NULL
581,"Architecture et urbanisme", NULL
5811,"Architecture", NULL
5812,"Architecture d'intérieur", NULL
5813,"Urbanisme", NULL
5814,"Planification régionale", NULL
5815,"Architecture du paysage", NULL
5816,"Etudes des transports et de la circulation", NULL
582,"Construction et génie civil", NULL
5821,"Science des matériaux", NULL
589,"Architecture et bâtiment (autres)", NULL
6,"AGRICULTURE ET VETERINAIRE", NULL
62,"Agriculture, sylviculture et pêche", NULL
620,"Agriculture, sylviculture et pêche (programmes larges)", NULL
6201,"Economie agricole", NULL
6202,"Sciences et technologies de l'alimentation", NULL
6203,"Agriculture tropicale/subtropicale", NULL
621,"Cultures et élevage de bétail", NULL
622,"Horticulture", NULL
623,"Sylviculture", NULL
624,"Pêche", NULL
629,"Agriculture, sylviculture et pêche (autres)", NULL
64,"Vétérinaire", NULL
640,"Vétérinaire", NULL
641,"Vétérinaire", NULL
6411,"Elevage du bétail", NULL
7,"SANTE ET BIEN-ETRE", NULL
72,"Santé", NULL
720,"Santé (programmes larges)", NULL
721,"Médecine", NULL
7211,"Psychiatrie et Psychologie clinique", NULL
7212,"Santé publique", NULL
7213,"Technologie médicale", NULL
722,"Services médicaux", NULL
723,"Infirmiers, Sage-femmes et Physiothérapie", NULL
724,"Etudes dentaires", NULL
727,"Pharmacie", NULL
729,"Santé (autres)", NULL
8,"SERVICES", NULL
81,"Services à la personne", NULL
810,"Services à la personne (programmes larges)", NULL
811,"Hotel, restaurant et traiteur", NULL
812,"Voyage, tourisme et loisirs", NULL
813,"Sports", NULL
814,"Services domestiques", NULL
815,"Services de coiffure et d'esthétique", NULL
819,"Services à la personne (autres)", NULL
84,"Services de transport", NULL
840,"Services de transport", NULL
85,"Potection de l'environnement", NULL
850,"Protection de l'environnement (programmes larges)", NULL
851,"Technologies de protection de l'environnement", NULL
852,"Environnements naturels, faune et flore", NULL
853,"Services sanitaires pour la communauté", NULL
859,"Protection de l'environnement (autres)", NULL
86,"Services de sécurité", NULL
860,"Services de sécurité (programmes larges)", NULL
861,"Protection des personnes et des biens", NULL
862,"Santé et sécurité au travail", NULL
863,"Militaire et défense", NULL
869,"Services de sécurité (autres)", NULL
